fid,document-url,documentation-url,end-date,entity,entry-date,legislation,legislation-url,name,notes,organisation,prefix,reference,start-date,LPA23CD,LPA23NM
1,https://www.legislation.gov.uk/uksi/2023/104/contents,https://teesvalley-ca.gov.uk/about/hartlepool-development-corporation/,,,05/12/2025,The Hartlepool Development Corporation (Establishment) Order 2023,https://www.legislation.gov.uk/uksi/2023/104/contents,Hartlepool Development Corporation,,,,Q124604981,27/02/2023,,
2,https://democracy.greatermanchester-ca.gov.uk/ieListDocuments.aspx?CId=136&MId=5866&Ver=4,,,,05/12/2025,,,Stockport Town Centre Development Corporation,Start date to be determined; GMCA awaiting exact start date confirmation from MHCLG,,,stockport-town-centre-MDC,,,
3,https://democracy.greatermanchester-ca.gov.uk/ieListDocuments.aspx?CId=136&MId=6019&Ver=4,https://www.northerngatewaymanchester.co.uk/,,,05/12/2025,,,Northern Gateway Development Corporation,Start date to be determined; GMCA awaiting exact start date confirmation from MHCLG,,,northern-gateway-MDC,,,
4,https://democracy.greatermanchester-ca.gov.uk/ieListDocuments.aspx?CId=136&MId=5866&Ver=4,,,,05/12/2025,,,Old Trafford Development Corporation,Start date to be determined; GMCA awaiting exact start date confirmation from MHCLG,,,old-trafford-MDC,,,
5,https://www.legislation.gov.uk/uksi/2017/718/contents/made,https://teesvalley-ca.gov.uk/about/transparency-policy-procedures/south-tees-development-corporation/,,,05/12/2025,The South Tees Development Corporation (Establishment) Order 2017,https://www.legislation.gov.uk/uksi/2017/718/contents/made,South Tees Development Corporation,,,,Q72456968,01/08/2017,,
6,https://www.legislation.gov.uk/uksi/2023/103/contents,https://teesvalley-ca.gov.uk/about/middlesbrough-development-corporation/,,,05/12/2025,The Middlesbrough Development Corporation (Establishment) Order 2023,https://www.legislation.gov.uk/uksi/2023/103/contents,Middlesbrough Development Corporation,,,,Q117149370,27/02/2023,,
7,https://www.legislation.gov.uk/uksi/2025/1151/contents/made,,,,05/12/2025,The Oxford Street Development Corporation (Establishment) Order 2025,https://www.legislation.gov.uk/uksi/2025/1151/contents/made,Oxford Street Development Corporation,Digitised by GLA based on Ordnance Survey highways street centre lines,,,OSD00000001,01/01/2026,,
8,https://www.legislation.gov.uk/uksi/2019/1040/contents/made,https://www.stockportmdc.co.uk/,,,05/12/2025,The Stockport Town Centre West Mayoral Development Corporation (Establishment) Order 2019,https://www.legislation.gov.uk/uksi/2019/1040/contents/made,Stockport Town Centre West Mayoral Development Corporation,,,,Q115585981,02/09/2019,,
9,https://www.legislation.gov.uk/uksi/2015/747/contents/made,https://ebbsfleetgardencity.org.uk/,,,05/12/2025,The Ebbsfleet Development Corporation (Area and Constitution) Order 2015,https://www.legislation.gov.uk/uksi/2015/747/contents/made,Ebbsfleet Development Corporation,,,,Q72463795,20/04/2015,E60000328,Ebbsfleet Development Corporation LPA
10,https://www.legislation.gov.uk/uksi/2012/310/contents/made,https://www.queenelizabetholympicpark.co.uk/about-us,01/12/2024,,05/12/2025,The London Legacy Development Corporation (Establishment) Order 2012,https://www.legislation.gov.uk/uksi/2012/310/contents/made,London Legacy Development Corporation,,,,Q6670544,09/03/2012,E60000329,London Legacy Development Corporation LPA
11,https://www.legislation.gov.uk/uksi/2015/53/contents/made,https://www.london.gov.uk/who-we-are/city-halls-partners/old-oak-and-park-royal-development-corporation-opdc,,,05/12/2025,The Old Oak and Park Royal Development Corporation (Establishment) Order 2015,https://www.legislation.gov.uk/uksi/2015/53/contents/made,Old Oak and Park Royal Development Corporation,,,,Q20648596,01/04/2015,E60000330,Old Oak and Park Royal Development Corporation LPA
